"LocationName","Congeners","t05","t05.error","R2R","RMSE","Factor2"
"Fox River","PCB17",14.3462136162749,2.97801101396871,0.809408409358409,0.19974298183962,"87.1"
"Fox River","PCB18.30",10.811724433473,1.38558974965543,0.879970373284899,0.163729419183354,"92.2"
"Fox River","PCB20.21.28.31.33.50.53",11.2982881892043,1.62607698719884,0.848574233074905,0.176018197960188,"91.2"
"Fox River","PCB25",11.7997778910493,1.86597451985992,0.828466768551085,0.365132350589576,"87.1"
"Fox River","PCB67",4.14485727852196,0.511125206509993,0.841234365212227,0.586312335485706,"85.1"
"Fox River","PCB83.99",18.2721272993444,5.90367954304227,0.582409648919648,0.306486497613525,"80.2"
"Fox River","PCB105",8.24361605650094,1.6864333868781,0.546748002435279,0.579409668808222,"71.4"
"Fox River","PCB128.162.166.167",-9.8680100954041,2.33814695503161,0.911695672532885,0.530916540953775,"100"
"Fox River","PCB177",7.35434353467207,1.74388738325795,0.560694580701966,0.645448617953168,"70.8"
"Fox River","PCB195.208",4.83413950821655,1.45248992822943,0.757918077218393,0.63997107722269,"80"
